copy,audience,keywords,time_of_day,clicked
50% off!,students,bestseller,9,1
Limited offer!,adults,offer,11,1
Hurry up!,students,sale,12,1
Buy now!,elderly,offer,11,1
50% off!,parents,discount,21,0
50% off!,adults,sale,15,0
Best in town!,teens,exclusive,16,0
Limited offer!,teens,bestseller,13,1
Limited offer!,elderly,offer,21,0
50% off!,students,discount,6,0
Hurry up!,teens,bestseller,19,1
Buy now!,teens,bestseller,5,1
50% off!,parents,offer,7,1
Don't miss out!,adults,sale,11,1
Limited offer!,students,discount,9,1
Best in town!,teens,offer,20,0
50% off!,students,offer,15,1
Limited offer!,adults,limited,1,0
50% off!,adults,bestseller,12,0
Best in town!,teens,offer,15,1
Best in town!,adults,sale,10,1
Buy now!,students,sale,9,1
Don't miss out!,elderly,limited,4,1
Buy now!,elderly,bestseller,4,1
Limited offer!,elderly,offer,5,1
50% off!,teens,exclusive,3,1
Best in town!,parents,exclusive,22,1
Buy now!,parents,limited,21,1
Hurry up!,elderly,exclusive,21,0
Buy now!,teens,sale,15,1
Don't miss out!,parents,exclusive,16,1
Hurry up!,parents,discount,15,1
Limited offer!,parents,sale,19,0
50% off!,adults,bestseller,22,0
50% off!,elderly,discount,17,1
Limited offer!,students,sale,1,0
Hurry up!,parents,sale,18,1
Limited offer!,students,discount,6,1
Buy now!,parents,bestseller,18,1
50% off!,teens,exclusive,19,1
Limited offer!,parents,sale,3,0
Hurry up!,teens,bestseller,14,1
50% off!,parents,sale,1,1
Hurry up!,teens,limited,5,1
Hurry up!,parents,offer,15,0
Don't miss out!,teens,exclusive,15,0
Limited offer!,adults,exclusive,21,0
Hurry up!,students,offer,9,0
Don't miss out!,teens,offer,8,0
Limited offer!,parents,exclusive,16,1
Don't miss out!,parents,sale,23,0
Hurry up!,adults,exclusive,22,1
Don't miss out!,adults,sale,11,1
Best in town!,students,offer,16,1
Don't miss out!,teens,limited,16,1
50% off!,elderly,bestseller,23,0
Best in town!,elderly,exclusive,6,1
Limited offer!,parents,limited,9,1
Limited offer!,parents,sale,23,0
Hurry up!,adults,exclusive,0,0
Hurry up!,adults,limited,21,0
Best in town!,adults,exclusive,17,1
Buy now!,elderly,discount,6,1
50% off!,parents,discount,4,0
Limited offer!,adults,bestseller,21,1
Hurry up!,elderly,discount,12,0
50% off!,adults,discount,16,0
Limited offer!,teens,sale,14,1
50% off!,teens,discount,10,0
Limited offer!,elderly,bestseller,5,1
50% off!,students,limited,0,0
50% off!,students,offer,8,0
50% off!,elderly,limited,17,1
Hurry up!,students,limited,20,1
Buy now!,teens,offer,15,1
Buy now!,parents,discount,1,1
50% off!,parents,discount,6,0
50% off!,teens,discount,5,0
Buy now!,adults,bestseller,13,1
Don't miss out!,teens,discount,1,1
Hurry up!,elderly,offer,7,0
Limited offer!,elderly,exclusive,6,0
Hurry up!,parents,bestseller,14,1
Limited offer!,students,exclusive,8,1
50% off!,elderly,limited,13,1
Don't miss out!,students,sale,19,0
50% off!,parents,offer,0,1
Hurry up!,parents,offer,19,1
Buy now!,parents,sale,16,1
Don't miss out!,adults,discount,22,0
50% off!,elderly,exclusive,23,1
Hurry up!,teens,sale,22,0
Best in town!,students,discount,8,0
50% off!,parents,exclusive,3,0
Don't miss out!,elderly,discount,18,0
Limited offer!,parents,bestseller,7,0
Buy now!,elderly,offer,7,1
Don't miss out!,parents,bestseller,19,0
Hurry up!,elderly,bestseller,10,0
Limited offer!,teens,exclusive,8,0
Buy now!,parents,discount,18,0
Best in town!,teens,exclusive,20,0
50% off!,adults,limited,8,0
50% off!,teens,offer,2,1
Don't miss out!,adults,exclusive,0,1
50% off!,elderly,limited,7,1
Hurry up!,teens,bestseller,12,1
Buy now!,students,offer,16,0
Hurry up!,adults,exclusive,18,0
50% off!,teens,offer,23,1
Limited offer!,elderly,sale,4,1
Hurry up!,adults,sale,3,1
Hurry up!,elderly,discount,20,0
Buy now!,elderly,offer,1,1
Buy now!,parents,exclusive,0,1
Hurry up!,parents,offer,20,1
50% off!,teens,sale,18,1
Limited offer!,parents,sale,9,1
50% off!,teens,limited,22,0
50% off!,students,sale,12,0
Limited offer!,elderly,discount,10,1
Limited offer!,parents,exclusive,10,1
Buy now!,teens,discount,15,0
50% off!,students,bestseller,1,1
Don't miss out!,students,sale,19,1
Limited offer!,elderly,discount,4,0
Limited offer!,parents,bestseller,9,1
Don't miss out!,adults,sale,3,1
Best in town!,teens,bestseller,9,0
Buy now!,elderly,sale,7,1
Hurry up!,elderly,limited,4,0
Buy now!,parents,offer,13,0
50% off!,teens,discount,1,1
Best in town!,students,bestseller,10,0
Hurry up!,parents,exclusive,14,1
50% off!,teens,bestseller,7,1
Best in town!,elderly,offer,7,1
50% off!,elderly,offer,23,0
Don't miss out!,students,exclusive,12,1
Don't miss out!,parents,exclusive,1,1
Best in town!,students,sale,15,1
Buy now!,teens,exclusive,19,1
Limited offer!,students,exclusive,10,1
Hurry up!,adults,offer,22,1
Best in town!,parents,offer,5,0
Hurry up!,teens,sale,1,1
Hurry up!,adults,exclusive,1,0
Hurry up!,parents,offer,8,0
Hurry up!,adults,bestseller,7,1
Hurry up!,students,sale,21,0
Best in town!,adults,offer,21,0
50% off!,students,bestseller,3,1
Buy now!,elderly,bestseller,11,1
Best in town!,teens,bestseller,4,0
Limited offer!,students,offer,14,1
Buy now!,elderly,offer,7,1
Limited offer!,adults,discount,16,1
Best in town!,teens,bestseller,1,1
Buy now!,parents,bestseller,14,0
50% off!,elderly,sale,6,1
50% off!,teens,limited,12,0
Don't miss out!,parents,discount,3,0
Buy now!,teens,limited,20,1
50% off!,elderly,bestseller,9,1
Hurry up!,students,exclusive,4,0
50% off!,adults,sale,20,1
Don't miss out!,parents,discount,3,0
Limited offer!,parents,discount,17,0
Don't miss out!,elderly,bestseller,8,1
Best in town!,teens,bestseller,15,0
Don't miss out!,teens,discount,3,0
Buy now!,parents,discount,20,0
Best in town!,parents,discount,18,1
Hurry up!,teens,exclusive,12,0
Buy now!,teens,bestseller,14,1
Best in town!,students,offer,1,0
Don't miss out!,parents,offer,12,1
Buy now!,elderly,bestseller,12,1
Hurry up!,parents,exclusive,22,0
50% off!,elderly,sale,10,1
50% off!,students,discount,16,1
Best in town!,parents,exclusive,20,1
Don't miss out!,elderly,sale,18,0
Don't miss out!,students,exclusive,21,0
Best in town!,parents,exclusive,11,0
Limited offer!,parents,exclusive,1,0
Don't miss out!,adults,exclusive,2,1
50% off!,elderly,offer,2,0
